Commodity,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Arrival
Onion,0.0,0,2020-12-31,35486.0
Onion,1.0,1,2021-12-31,35486.00000000001
Onion,2.0,2,2022-12-31,35486.0
Onion,3.0,3,2023-12-31,35486.0
Onion,4.0,4,2024-12-31,35486.0
Onion,5.0,5,2025-12-31,35486.0
Onion,6.0,6,2026-12-31,35486.0
Onion,7.0,7,2027-12-31,57979.56712328768
Onion,8.0,8,2028-12-31,62659.76015420316
Onion,9.0,9,2029-12-31,52252.42739726028
Onion,10.0,10,2030-12-31,61696.476712328775
Onion,11.0,11,2031-12-31,59725.21643835616
Onion,12.0,12,2032-12-31,59725.21643835616
Onion,13.0,13,2033-12-31,59725.21643835617
Onion,14.0,14,2034-12-31,59725.21643835616
Onion,15.0,15,2035-12-31,59725.216438356176
Onion,16.0,16,2036-12-31,59725.21643835617
Onion,17.0,17,2037-12-31,59725.216438356176
Onion,18.0,18,2038-12-31,59725.216438356176
Onion,19.0,19,2039-12-31,82218.78356164384
Onion,20.0,20,2040-12-31,86898.97659255932
Onion,21.0,21,2041-12-31,76491.64383561644
Onion,22.0,22,2042-12-31,85935.69315068494
Onion,23.0,23,2043-12-31,83964.43287671234
Onion,24.0,24,2044-12-31,83964.43287671232
