Min,Max,Commodity,PSF
680.1330432,999.7749403,Onion,0
712.0972329,999.7749403,Onion,16813453.78
744.0614226,999.7749403,Onion,6715054980
760.0435175,999.7749403,Onion,29293357.63
776.0256123,999.7749403,Onion,6840668080
659.0329279,1084.627779,Tomato,0
701.592413,1084.627779,Tomato,7774729.163
744.1518981,1084.627779,Tomato,2132226351
765.4316407,1084.627779,Tomato,15920221.7
786.7113832,1084.627779,Tomato,2183248311
1431.00417,2275.427443,Garlic,0
1515.446497,2275.427443,Garlic,1245217.452
1599.888825,2275.427443,Garlic,611038519.9
1642.109988,2275.427443,Garlic,2105427.292
1684.331152,2275.427443,Garlic,624834756.8
1202.228988,1385.210835,Potato,0
1220.527173,1385.210835,Potato,3000528.506
1238.825357,1385.210835,Potato,3325158619
1247.97445,1385.210835,Potato,4806801.632
1257.123542,1385.210835,Potato,3348266980
2547.561404,3032.816238,Green Ginger,0
2596.086887,3032.816238,Green Ginger,9232049.535
2644.612371,3032.816238,Green Ginger,5523254016
2668.875113,3032.816238,Green Ginger,15073221.46
2693.137854,3032.816238,Green Ginger,5570615796
1774.368346,1816.924071,Paddy,0
1778.623919,1816.924071,Paddy,5100569.377
1782.879491,1816.924071,Paddy,54385909529
1785.007277,1816.924071,Paddy,7650854.066
1787.135064,1816.924071,Paddy,54450021981
2941.714464,3027.877063,Rice,0
2950.330724,3027.877063,Rice,1873179.058
2958.946984,3027.877063,Rice,16641737149
2963.255114,3027.877063,Rice,3319410.059
2967.563244,3027.877063,Rice,16665716871
1457.363386,1618.724524,Maize,0
1473.4995,1618.724524,Maize,23295717.92
1489.635614,1618.724524,Maize,47952991185
1497.703671,1618.724524,Maize,51004047.7
1505.771727,1618.724524,Maize,48204408379
11970.49515,12836.60821,Coconut (Per 1000),0
12057.10646,12836.60821,Coconut (Per 1000),774931502
12143.71776,12836.60821,Coconut (Per 1000),3.03273E+12
12187.02342,12836.60821,Coconut (Per 1000),1592389745
12230.32907,12836.60821,Coconut (Per 1000),3.04323E+12
